material,number_of_elements,mean_atomic_mass,wtd_mean_atomic_mass,gmean_atomic_mass,wtd_gmean_atomic_mass,entropy_atomic_mass,wtd_entropy_atomic_mass,range_atomic_mass,wtd_range_atomic_mass,std_atomic_mass,wtd_std_atomic_mass,mean_fie,wtd_mean_fie,gmean_fie,wtd_gmean_fie,entropy_fie,wtd_entropy_fie,range_fie,wtd_range_fie,std_fie,wtd_std_fie,mean_atomic_radius,wtd_mean_atomic_radius,gmean_atomic_radius,wtd_gmean_atomic_radius,entropy_atomic_radius,wtd_entropy_atomic_radius,range_atomic_radius,wtd_range_atomic_radius,std_atomic_radius,wtd_std_atomic_radius,mean_Density,wtd_mean_Density,gmean_Density,wtd_gmean_Density,entropy_Density,wtd_entropy_Density,range_Density,wtd_range_Density,std_Density,wtd_std_Density,mean_ElectronAffinity,wtd_mean_ElectronAffinity,gmean_ElectronAffinity,wtd_gmean_ElectronAffinity,entropy_ElectronAffinity,wtd_entropy_ElectronAffinity,range_ElectronAffinity,wtd_range_ElectronAffinity,std_ElectronAffinity,wtd_std_ElectronAffinity,mean_FusionHeat,wtd_mean_FusionHeat,gmean_FusionHeat,wtd_gmean_FusionHeat,entropy_FusionHeat,wtd_entropy_FusionHeat,range_FusionHeat,wtd_range_FusionHeat,std_FusionHeat,wtd_std_FusionHeat,mean_ThermalConductivity,wtd_mean_ThermalConductivity,gmean_ThermalConductivity,wtd_gmean_ThermalConductivity,entropy_ThermalConductivity,wtd_entropy_ThermalConductivity,range_ThermalConductivity,wtd_range_ThermalConductivity,std_ThermalConductivity,wtd_std_ThermalConductivity,mean_Valence,wtd_mean_Valence,gmean_Valence,wtd_gmean_Valence,entropy_Valence,wtd_entropy_Valence,range_Valence,wtd_range_Valence,std_Valence,wtd_std_Valence,H,He,Li,Be,B,C,N,O,F,Ne,Na,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Kr,Rb,Sr,Y,Zr,Nb,Mo,Tc,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Xe,Cs,Ba,La,Ce,Pr,Nd,Pm,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Po,At,Rn,critical_temp
Ag1B2,2.0,59.3396,43.1634,34.1491304457376,23.2742157281647,0.305062375833012,0.451061750362633,97.0572,28.7487333333333,48.5286,45.7532028553193,765.35,776.966666666667,764.556145747322,776.257432446644,0.692110116525153,0.621792736009658,69.7,289.966666666667,34.85,32.8568950991349,126.0,113.0,119.812353286295,107.689695711113,0.644448891017199,0.692794723141737,78.0,3.0,39.0,36.7695526217005,6475.0,5136.66666666667,5079.90157384964,3989.16408893115,0.486166974869486,0.626320401366883,8030.0,1856.66666666667,4015.0,3785.37830195198,77.65,61.1666666666667,59.868355581225,46.5816200916743,0.47378694762625,0.616969552572212,98.9,23.5666666666667,49.45,46.621907106233,30.65,37.1,23.7697286480094,30.4559967445989,0.477910004899359,0.328426119023405,38.7,29.5666666666667,19.35,18.2433549546129,228.5,161.333333333333,107.749709976408,67.9305808285881,0.224431235275412,0.349785778100635,403.0,125.333333333333,201.5,189.976021878786,2.0,2.33333333333333,1.73205080756888,2.0800838230519,0.562335144618808,0.410116318288409,2.0,1.66666666666667,1.0,0.942809041582063,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7
Ag1La1,2.0,123.386835,123.386835,122.40703827417,122.40703827417,0.685216870533492,0.685216870533492,31.03727,15.518634999999998,15.518634999999998,15.518634999999998,635.8,635.8,628.707841528957,628.707841528957,0.6820133111298748,0.6820133111298748,189.4,94.7,94.7,94.7,180.0,180.0,179.373911146521,179.373911146521,0.6896709283570269,0.6896709283570269,30.0,15.0,15.0,15.0,8318.0,8318.0,8029.4171644024,8029.4171644024,0.658656843050824,0.658656843050824,4344.0,2172.0,2172.0,2172.0,88.3,88.3,79.3186611082159,79.3186611082159,0.593231199876647,0.593231199876647,77.6,38.8,38.8,38.8,8.8,8.8,8.43741666625514,8.43741666625514,0.652232226417919,0.652232226417919,5.0,2.5,2.5,2.5,221.5,221.5,74.766302570075,74.766302570075,0.132459202589895,0.132459202589895,417.0,208.5,208.5,208.5,2.0,2.0,1.73205080756888,1.73205080756888,0.562335144618808,0.562335144618808,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0733333333333333
Ag1Mo6S8,3.0,78.6310666666667,62.6765466666667,69.237010076957,53.8987865859805,0.994958296160563,0.903098536149908,75.8032,31.1927866666667,33.2841326602065,32.8486929626912,804.766666666667,855.42,793.566184566011,841.20486506153,1.0842343467943,0.822695796249891,314.2,484.1,138.605106527702,153.88173900759,147.333333333333,133.4,139.717969645617,124.092053493902,1.05069996527445,0.893627420056353,103.0,65.0,43.8659574410752,49.9623858517585,7576.66666666667,5856.66666666667,5956.73424378128,4253.22981690447,0.927057346984778,0.809656767672422,8530.0,3412.66666666667,3972.50830360645,4166.01434893779,134.0,145.3,123.416214212255,130.467243753358,1.02074662774189,0.711946326839152,128.1,98.9933333333333,52.5237089322527,61.4363735908948,16.3433333333333,16.076,8.89492619947168,6.60213121520335,0.683066607717834,0.406063262448975,34.27,13.6466666666667,14.4380200243047,16.4338402085453,189.735,84.376,23.0539690418655,4.63133159031075,0.558988160288291,0.650240696198487,429.795,55.4906666666667,179.093021779186,113.735569212098,4.33333333333333,5.66666666666667,3.30192724889463,5.32444690154413,0.911017539712563,0.738835605807978,5.0,3.13333333333333,2.35702260395516,1.24721912892465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7
Ag1Sn1Se2,3.0,101.846066666667,96.12455,100.368159137707,94.5254500984825,1.08457591905583,1.08490337244226,39.75,12.51295,16.7772701874358,17.5873492916784,793.033333333333,829.875,786.495522216429,822.432655149883,1.0901399126082,0.984615872148651,232.2,293.15,104.600902906662,110.805852169459,137.666666666667,129.0,135.071292933722,126.220994874885,1.08038589409364,1.08787055111096,62.0,15.25,25.8370965001015,26.944387170615,7539.66666666667,6859.5,7176.0137768774,6496.08470847152,1.0508165572864,1.08748662967602,5671.0,795.0,2320.86482922973,2329.74038253192,144.133333333333,157.225,139.544374572837,152.010955485122,1.06549997802682,0.920483266958342,87.7,71.05,37.7749770203622,39.8043574875917,7.9,7.275,7.53107110047197,6.93012392528559,1.05036128471142,1.07792923628708,5.9,1.075,2.49131825880731,2.41389208540896,165.84,124.51,24.6518131498216,9.39479885943922,0.403231987154585,0.409574389991156,429.48,107.24,188.750764766663,178.45067974093,3.66666666666667,4.25,2.88449914061482,3.46410161513775,0.916464885539471,0.752974682765889,5.0,2.75,2.05480466765633,2.04633819296811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.655
Ag2F1,2.0,63.4333016,78.2449344,45.2694550006761,60.4646190880013,0.422276963168679,0.281048517037796,88.8697968,65.5793322666667,44.4348984,41.8936239733004,1205.25,1047.0,1107.8086477366,964.23577533265,0.613425754695161,0.690714557738187,949.5,73.0,474.75,447.598592491085,103.5,124.0,83.2466215530697,104.569667302466,0.504394507461034,0.352542510348751,123.0,96.0,61.5,57.9827560572969,5245.848,6993.89866666667,133.383057394858,571.46847129965,0.0015728683192455,0.0008425231843003,10488.304,6992.768,5244.152,4944.23392103066,228.3,194.566666666667,204.644692088507,174.601849612599,0.591399440900972,0.684802848595414,202.4,25.1,101.2,95.4122750081048,5.78,7.62,1.71405950888527,3.21398178901766,0.107582727245493,0.0622220471060824,11.04,7.44666666666667,5.52,5.20430590953299,215.01385,286.6759,3.45123166420337,17.2374185370782,0.0006860229837322,0.0003653470890048,429.9723,286.657433333333,214.98615,202.690886034918,1.0,1.0,1.0,1.0,0.693147180559945,0.636514168294813,0.0,0.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.066
Al13Os4,2.0,108.6057693,65.3929412823529,71.64285091953,42.7214589179232,0.375245260624345,0.62344822732887,163.2484614,24.1270587176471,81.6242307,69.2471409668593,698.5,634.282352941176,687.88702560813,626.874803965224,0.677991941631696,0.614309858439277,242.6,248.494117647059,121.3,102.906675226772,151.5,133.764705882353,147.749788493926,131.169399376314,0.668496457897361,0.630885970676793,67.0,46.7058823529412,33.5,28.4202277007162,12645.0,7380.0,7809.80153396999,4450.76775300508,0.33969057975388,0.592736380623969,19890.0,3250.58823529412,9945.0,8436.98998458573,75.8,58.9647058823529,68.8069763904795,54.3039479894657,0.602364169857992,0.683136399115338,63.6,8.32941176470588,31.8,26.9780071905306,20.85,15.4764705882353,18.2126329782379,13.7430923179317,0.569464884854021,0.691499318429737,20.3,0.888235294117647,10.15,8.610904810814,161.0,200.176470588235,142.986013302001,186.006025462209,0.583444085461097,0.33002639894495,148.0,159.235294117647,74.0,62.779010443373,4.5,3.70588235294118,4.24264068711928,3.53144008172675,0.636514168294813,0.664528438654915,3.0,0.882352941176471,1.5,1.27254750898729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4
Al1Mo3,2.0,61.4707693,78.71538465,50.8836756146409,69.8770170512519,0.526231789420959,0.292458897509236,68.9784614,65.22461535,34.4892307,29.8685499431822,631.0,657.9,628.70228248353,656.151905464521,0.689508003062799,0.526064045730173,107.6,369.3,53.8,46.5921667236028,154.0,172.0,149.733095873958,168.669167947352,0.665569395319546,0.458275013283274,72.0,113.0,36.0,31.1769145362398,6490.0,8385.0,5268.39634044364,7359.28762719333,0.511311216653022,0.279991028640575,7580.0,7035.0,3790.0,3282.23628034302,58.7,66.05,56.8295697678594,64.5855279529469,0.661454362530742,0.450358093523695,29.4,44.05,14.7,12.7305734356312,23.35,29.675,19.6265126805554,26.5810920862931,0.538213333451595,0.302869052558151,25.3,24.325,12.65,10.9552213578731,187.0,163.0,180.734612069742,158.499561758682,0.659832074074843,0.653664883530982,96.0,45.5,48.0,41.5692193816531,4.5,5.25,4.24264068711928,5.04537849152229,0.636514168294813,0.410116318288409,3.0,3.75,1.5,1.29903810567666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58
Al1Nb3,2.0,59.9439593,76.42516965,50.0675251850565,68.2025844121939,0.533233535900479,0.298496536607205,65.9248414,62.93440035,32.9624207,28.54629369643,620.4,642.0,618.89411049064,640.857341162282,0.690720875413904,0.532874720937945,86.4,353.4,43.2,37.4122974434877,158.0,178.0,152.852870434284,173.96800954769904,0.660749625724677,0.449051083619336,80.0,119.0,40.0,34.6410161513775,5635.0,7102.5,4810.30144585555,6420.6139419047895,0.55058849348267,0.314039149608442,5870.0,5752.5,2935.0,2541.78456010733,65.8,76.7,62.0838143158102,73.7464720109713,0.637214136580024,0.411116214168358,43.6,54.7,21.8,18.8793538025008,18.75,22.775,16.9339894885995,21.303307684359,0.597920169798855,0.36182006772394,16.1,17.425,8.05,6.97150450046473,144.5,99.25,112.649900133112,77.9941959839834,0.481624839190812,0.676144839549851,181.0,18.25,90.5,78.3752990424917,4.0,4.5,3.87298334620742,4.4005586839669695,0.661563238157982,0.450561208866305,2.0,3.0,1.0,0.866025403784439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.461333333333336
Al1Os1,2.0,108.6057693,108.6057693,71.64285091953,71.64285091953,0.375245260624345,0.375245260624345,163.2484614,81.6242307,81.6242307,81.6242307,698.5,698.5,687.88702560813,687.88702560813,0.677991941631696,0.677991941631696,242.6,121.3,121.3,121.3,151.5,151.5,147.749788493926,147.749788493926,0.668496457897361,0.668496457897361,67.0,33.5,33.5,33.5,12645.0,12645.0,7809.80153396999,7809.80153396999,0.33969057975388,0.33969057975388,19890.0,9945.0,9945.0,9945.0,75.8,75.8,68.8069763904795,68.8069763904795,0.602364169857992,0.602364169857992,63.6,31.8,31.8,31.8,20.85,20.85,18.2126329782379,18.2126329782379,0.569464884854021,0.569464884854021,20.3,10.15,10.15,10.15,161.0,161.0,142.986013302001,142.986013302001,0.583444085461097,0.583444085461097,148.0,74.0,74.0,74.0,4.5,4.5,4.24264068711928,4.24264068711928,0.636514168294813,0.636514168294813,3.0,1.5,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39
Al1Sc1Au2,3.0,89.6346732,116.46764715,62.0509851889844,82.8246560218902,0.757768961022771,0.532452503497017,169.9850304,91.73789985,76.2490280453777,80.7493726378276,699.1,746.65,686.681635945178,732.53545225279,1.08022762281825,0.954745050738854,312.1,300.35,136.26021674233,143.903240060813,158.666666666667,162.5,155.745805620019,160.121474872361,1.08103846946182,1.00150247358427,66.0,57.5,29.044027881056,26.0144190786571,8328.33333333333,11071.25,5378.01244511095,7402.11246651055,0.693712771770833,0.472102202998001,16600.0,8975.0,7759.01232259765,8229.36690684648,95.9666666666667,128.05,57.8334819560241,81.1599598943212,0.66449880503405,0.451844090090168,204.7,107.25,91.2904643919007,96.6358241026587,13.0666666666667,12.925,12.886587425421,12.788833892813,1.08462991915877,1.04033354145157,5.3,3.575,2.20050499254653,1.92142525225417,190.333333333333,222.75,106.360231618767,140.078650898156,0.790074439019021,0.661363901942085,304.0,156.0,128.063352377728,124.308839186922,3.66666666666667,4.0,3.55689330449006,3.87298334620742,1.06708951878208,0.921493430867962,2.0,1.75,0.942809041582063,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4
