material_id,composition,tc
201,Ce1Pd2Si2,0.421
109,Bi1Cu1,1.8
321,Ho1Ni2B2C1,8.003125
185,Cd2Re2O7,1.1028571428571428
269,Ga2La1,1.15
673,Sc5Ir4Si10,8.311428571428571
468,Lu1Re2,1.7
707,Sr2V1Fe1As1O3,29.775
798,Y6Ta4Al43,0.68
714,Ta1Ir1Si1,0.5
555,Os2Sc1,4.6
41,Au2Bi1,1.77
582,Pd1Se1Te1,1.2
281,Ge1Ir1,4.7
27,As2Pd5,0.46
87,Ba2Bi3,4.44
230,Cu1Rh2Se4,3.4625
178,Ca3Rh4Ge13,2.1
552,O1V3Zr3,7.5
819,Zr2Ru3Si4,5.7
189,Ce1Co1In5,2.2070833333333333
308,Hf5Re24,4.3
755,Y1Fe2Ge2,1.155
772,Y1Rh2Sn1,4.1
815,Zr1Ru1As1,8.716666666666667
547,Ni2Nb1Al1,2.15
513,Nb1Ru1Si1,2.65
459,Lu1Mo6S8,2.2
268,Ga25Nb75,17.6
84,Ba1Ti2Bi2O1,4.6
349,Ir3Y1,3.5
733,Tl1Ba1Sr1Ca2Cu3O9,101.0
494,Mo1Sr2Y1Cu2O7,25.0
593,Pd2In1Y1,1.04
771,Y1Rh2Si2,2.1
400,La1Rh1Sb1,2.1
773,Y1Rh4B4,10.95775
678,Si3W5,2.7
578,Pd1Sb1,1.58
479,Lu2Ir3Si5,4.425
94,Ba6Nb10O30,1.625
530,Nb4Co1Si1,6.0
158,Ca1Ge3,6.8
29,As3La4,6.5
106,Be2Ta3,1.0
43,Au5Ba1,0.4
740,Tl1Sr2Ca1Cu2O7,59.4
584,Pd1Sn2,3.34
520,Nb2Sn1C1,5.9
604,Pd2Yb1Sn1,2.39
115,Bi1Pd1Se1,1.0
13,Al2La1,2.5881666666666665
328,In1Y1Au2,1.9
260,Ga1Mo3,0.76
38,Au1Sb2,0.58
395,La1Pt2B2C1,10.25
241,Dy1Mo6S8,1.6
