material_id,composition,tc
304,Hf1Ru1P1,11.796666666666669
464,Lu1Os3B2,4.655
695,Sr1Ni2As2,0.66
329,In2Mo15Se19,1.5
110,Bi1K1,3.6
66,B2Zr1,5.5
331,In3Lu1,0.24
552,O1V3Zr3,7.5
358,La1Al2,3.23
334,In3Te4,1.2
545,Ni2Hf1Al1,0.74
14,Al2Pt1,0.515
277,Ga7Pt3,2.9
726,Ti1Rh1Si1,5.1
286,Ge2La1,1.9766666666666668
84,Ba1Ti2Bi2O1,4.6
214,Ce2Rh1In8,1.0833333333333333
324,In1La3,9.61
174,Ca3Co4Sn13,5.75
679,Si3Y1,4.63
497,Mo3Al2C1,10.0
661,Sb1V3,0.65
178,Ca3Rh4Ge13,2.1
27,As2Pd5,0.46
0,Ag1B2,6.7
140,Bi3Sr1,5.7
389,La1Pd2P2,0.75
38,Au1Sb2,0.58
287,Ge2Lu1,2.6
342,Ir2Lu1,2.47
285,Ge2Hf1,2.2
734,Tl1Ba2Ca1Cu2O7,86.65
150,C6Ca1,11.303
774,Y1Ru1B2,7.7
575,Pb3Zr5,4.6
680,Sm1Ba2Cu3O7,80.35
413,La1Si2,2.4
431,La3Pd5Si1,1.4
409,La1Ru4P12,6.923333333333333
715,Ta1Pt1Si1,3.54
159,Ca1Hg1,1.6
119,Bi2Ca2Sr1Cu2O8,70.0
470,Lu1Ru1B2,10.053999999999998
372,La1Ni1B1N1,3.92
403,La1Rh1Sn1,1.9166666666666667
399,La1Rh1P1,2.5
624,Pt1Sn4,2.38
462,Lu1Os1B2,2.66
274,Ga41Mo8,9.7
254,Eu1Fe2As2,28.9
65,B2Ta1,9.5
11,Al2Au1,0.095
636,Re24Sc5,2.2
152,C6Yb1,6.496666666666666
31,Au1Ga1,1.2
777,Y1Ru3Si2,3.51
584,Pd1Sn2,3.34
492,Mo1Ni1P1,15.5
109,Bi1Cu1,1.8
127,Bi2Rh1,2.2
253,Eu1Ba2Cu4O8,70.1
796,Y5Rh4Ge10,1.35
658,Ru7B3,3.05
220,Co3Y4,2.033333333333333
451,Li1Pb1,7.2
751,V2Ir1B2,1.12
98,Ba8Si46,8.1425
223,Cs1Fe2As2,2.08
651,Rh5Y1,0.56
790,Y3Os8B6,5.8
663,Sb2Yb1,1.3
706,Sr2Sc1Fe1P1O3,12.0
442,La5Ru2,2.35
513,Nb1Ru1Si1,2.65
553,O1W3,3.35
648,Rh2Y3,1.48
479,Lu2Ir3Si5,4.425
622,Pt1Si1,0.88
9,Al1Sc1Au2,4.4
7,Al1Nb3,16.461333333333336
600,Pd2Tm1Sn1,2.82
344,Ir2Sr1,5.7
96,Ba8Si40Ga6,3.3
628,Pt2Y8,0.9
298,Hf1Os1P1,5.815
514,Nb1Si1As1,8.2
217,Co1Lu3,0.35
558,P1Pb1,7.8
660,Sb1Ta3,0.72
276,Ga6Y1,2.0
157,Ca1Ga1Si1,4.2375
35,Au1Pb2,3.76
273,Ga3Zr5,3.85
784,Y2I2C2,9.85
583,Pd1Sn1,0.41
496,Mo2Ir1B2,3.6
555,Os2Sc1,4.6
100,Be22Mo1,2.5275
364,La1Ir1P1,5.3
594,Pd2Lu1Pb1,2.4
266,Ga1V1,16.45
326,In1Sc1Au2,3.02
402,La1Rh1Si3,2.245
337,Ir1Nb3,1.8766666666666667
466,Lu1Pd2Sn1,2.91
517,Nb2As1C1,2.0
682,Sm1Fe1As1O,53.8
243,Dy1Rh2Ir2B4,4.53
763,Y1Os1B4,1.4
808,Zn2Zr1,0.4449999999999999
490,Mg2Zn11,0.88
72,Ba1Al1Ge1,6.3
664,Sc1Ir1P1,3.46
145,C2Mo1Re1,3.8
385,La1Pd1Sb2,2.7
581,Pd1Sb2,1.25
657,Ru2Zr1,2.053333333333333
768,Y1Pd2Si2,0.785
367,La1Ir2Ge2,1.5
180,Ca4Rh6Pb19,3.3
792,Y3Ru4Ge13,2.1166666666666667
59,B1W2,3.2
333,In3Rh1,0.19
480,Lu3Os4Ge13,3.6
676,Si2W3,2.84
228,Cu1Mo6Se8,5.9
711,Sr4Sc2Fe2P2O6,17.0
647,Rh2Sr1,6.2
267,Ga1Zr2,0.38
611,Pr1Fe1P1O1,3.5866666666666664
779,Y2Al1Ge3,4.5
459,Lu1Mo6S8,2.2
716,Ta1Rh1P1,4.635
806,Yb3Rh4Sn13,7.833333333333333
444,La7Ir3,2.33
550,Ni2P2Sr4Sc2O6,3.5250000000000004
281,Ge1Ir1,4.7
405,La1Rh3B2,2.57
453,Li2B1Pt3,1.86
213,Ce2Pd1In8,0.69
151,C6Sr1,1.65
225,Cs1V6S8,0.32
605,Pd2Zr1Al1,3.2
671,Sc4Rh6Ge19,1.9
320,Ho1Ba2Cu4O8,76.78
322,Ho1Rh4B4,1.4
383,La1Os4Sb12,0.80775
47,B12Sc1,0.39
516,Nb25Ti50Mo25,4.3
317,Hg2K1,1.2
523,Nb3Rh1,2.7423333333333333
56,B1Re3,4.75
219,Co1Ti1,0.71
506,Mo8P5,5.8
125,Bi2Pd3Se2,0.96
30,Au1Be1,1.775
60,B2Mg1,35.56130434782609
613,Pr1Os4Sb12,1.83
8,Al1Os1,0.39
705,Sr2Ru1O4,1.342
202,Ce1Pd5Al2,0.735
315,Hg1Pb2,5.8
538,Nd1Mo6S8,3.5
662,Sb2Tl7,5.2
483,Lu5Ir4Ge10,2.55
809,Zr1B12,6.09
535,Nb6Sn5,2.435
199,Ce1Ni2Ge2,0.2166666666666666
433,La3Rh4Pb13,2.2
41,Au2Bi1,1.77
547,Ni2Nb1Al1,2.15
28,As2W1,0.9
316,Hg1Sr2La1Cu2O6,28.0
42,Au2In1Y1,1.74
441,La4Sb3,0.25
738,Tl1Ni2Se2,3.7
525,Nb3Se4,1.9425
729,Ti1V1,6.09
725,Ti1Ir1Si1,2.2333333333333334
194,Ce1Ir1Ge3,1.61
155,C8Rb1,0.0241
82,Ba1Rh2P2,1.0
476,Lu1Si3,6.78
91,Ba3Ir4Ge16,6.1
407,La1Ru2P2,3.9333333333333336
783,Y2Fe3Si5,2.1266666666666665
756,Y1Fe2Si2,2.9
669,Sc1Tc2,10.9
2,Ag1Mo6S8,7.7
319,Ho1Ba2Cu3O7,91.97777777777776
396,La1Pt3Si1,0.6
549,Ni2Nb1Sn1,3.15
173,Ca2Sr2Cu3Ga1O9,73.0
101,Be22Re1,9.51
591,Pd20Zr80,2.91
78,Ba1Ni2P2,2.686666666666666
534,Nb50Zr50,10.2
489,Mg1C1Ni3,6.91125
718,Ta1S1Se1,3.36
540,Nd1Rh4B4,5.323333333333333
775,Y1Ru1B4,1.38
668,Sc1Ru4B4,7.27
700,Sr1Pd2Ge2,2.8920000000000003
168,Ca1Rh2,6.4
528,Nb3Sn0.2Sn0.8,15.89
306,Hf2Ni1,0.87
688,Sn3Zr5,1.9
79,Ba1Pt1Si3,1.875
51,B1Hf1,3.1
435,La3Ru8B6,3.15
491,Mg4Al1Si3,5.2
133,Bi3Ca1,1.85
493,Mo1Ru1,10.0
626,Pt2Sr1,0.7
355,K1V6S8,0.71
797,Y6Nb4Al43,0.86
602,Pd2Y1Sn1,4.55
20,Al6Re1,1.85
182,Cd1Mo6S8,1.8
532,Nb4Ni1Si1,7.7
448,La7Ru3,1.835
191,Ce1Cu2Ge2,1.32
318,Hg2Na1,1.62
232,Cu1Se1Te,1.6
599,Pd2Tm1Pb1,2.1
645,Rh1Y3,0.65
395,La1Pt2B2C1,10.25
366,La1Ir1Si3,1.4733333333333334
81,Ba1Rh2,6.0
301,Hf1Re2,5.203333333333333
148,C3Y2,14.85625
735,Tl1Ba2Ca3Cu4O11,118.05
562,P3Pd7,0.85
719,Ta1V2,3.2
781,Y2Cl2C2,2.3
526,Nb3Sn0.05Sn0.95,16.9
162,Ca1Ni1B1N1,2.08
608,Pd7Se2,0.53
771,Y1Rh2Si2,2.1
567,Pb1Zr3,0.76
427,La3Ni4P4O2,2.2
588,Pd1Tl2,1.32
375,La1Ni1P1O1,3.0
58,B1Ta2,3.12
186,Ce1Au2Si2,2.0516666666666663
589,Pd1V3,0.081
765,Y1Pd2B2C1,22.6
237,Dy1Ba2Cu3O7,86.13181818181819
32,Au1Ga40Mo8,9.4
487,Mg1Al1Si1,6.0
653,Ru1Ti1,1.07
201,Ce1Pd2Si2,0.421
310,Hg1Ba2Ca2Cu3O8,126.61428571428571
597,Pd2Sn1,0.41
807,Zn1N1Ni3,3.0
564,P4W14O50,0.39
257,Fe2As2Sr4V2O6,27.0
308,Hf5Re24,4.3
471,Lu1Ru2,1.545
761,Y1Ni2B2C1,14.852380952380951
40,Au1Zr3,0.92
283,Ge1Pt1,0.4
757,Y1In3,0.96
111,Bi1La2,0.76
754,Y1Ba2Cu3S1O6,89.5
136,Bi3La5,0.64
400,La1Rh1Sb1,2.1
627,Pt2Y1,2.835
701,Sr1Pt1As1,2.425
566,Pb1Ta1Se2,3.695
533,Nb50Zr25Hf25,10.1
185,Cd2Re2O7,1.1028571428571428
39,Au1Sc1,2.0
632,Rb1Os2O6,6.318
289,Ge2Y1,3.8
635,Re1Ta1,1.3
325,In1Pd1,0.7
529,Nb3Sn1,17.846
673,Sc5Ir4Si10,8.311428571428571
556,Os2Y1,4.7
398,La1Rh1Al1,2.4
819,Zr2Ru3Si4,5.7
714,Ta1Ir1Si1,0.5
386,La1Pd2Al3,0.85
227,Cu1La1,6.0
378,La1Ni1Sn1,0.59
524,Nb3Sb1,2.2
472,Lu1Ru2Si2,2.4
354,K1Ni2Se2,0.8
245,Er1Ba2Cu4O8,78.525
97,Ba8Si42Cu4,2.9
503,Mo4Re2Te8,3.5
99,Be17Nb2,1.47
617,Pr1Ru4P12,1.8
393,La1Pt1Si1,3.8333333333333335
45,Au5Sn1,0.9
345,Ir2Y1,1.6350000000000002
804,Yb1Pd2Sn1,2.06
623,Pt1Sn1,0.37
512,Nb1Rh1P1,4.25
165,Ca1Pd2As2,1.27
193,Ce1In3,0.1733333333333333
177,Ca3Ir4Sn13,6.95
196,Ce1Ir1Si3,1.53
573,Pb3Y1,4.72
579,Pd1Sb1Se1,1.0
221,Cr3Ir1,0.256
114,Bi1Na1,2.25
687,Sn3Yb1,3.6
268,Ga25Nb75,17.6
570,Pb2Sr2Dy1Cu3O8,76.5
423,La3Co4Sn13,2.425
755,Y1Fe2Ge2,1.155
745,Tm1Ba2Cu4O8,79.42
541,Ni1Sm1,1.6
415,La1Sn2,3.6
429,La3Pd4Ge4,2.4933333333333336
481,Lu3Rh4Ge13,2.3
683,Sm1Fe1P1O1,2.5
226,Cu1Co2S4,3.9
166,Ca1Pt1Si3,2.3
176,Ca3Ir4Ge4,1.7
475,Lu1Se1,0.56
457,Li3Mo15Se19,3.5
259,Ga1La3,5.82
539,Nd1Pt4Ge12,0.7
598,Pd2Sn1Y1,4.9
769,Y1Pd2Sn1,4.993333333333333
299,Hf1Os2,2.27
49,B12Zr1,5.977142857142858
421,La2Rh3Sn5,1.85
260,Ga1Mo3,0.76
817,Zr1Ru1Si1,9.733333333333333
129,Bi2Sr2Ca1Cu2O10,110.0
692,Sr1Fe2As1P1,9.095
800,Yb1Ba2Cu4O8,78.8
160,Ca1Ir1Si3,3.3
543,Ni1Zr3,3.35
209,Ce1Ru3B2,1.1
161,Ca1Ir2,5.075
373,La1Ni1C2,2.89
515,Nb1Sn2,2.64
520,Nb2Sn1C1,5.9
1,Ag1La1,1.0733333333333333
795,Y5Os4Ge10,8.946666666666667
606,Pd34Se11,2.66
810,Zr1Ir1Si1,2.04
593,Pd2In1Y1,1.04
614,Pr1Pt2B2C1,6.0
551,Ni2Zr1Ga1,2.87
336,Ir1Mo3,8.030999999999999
536,NbSn3,18.0
231,Cu1S1Se1,1.625
75,Ba1Ga1Si1,4.05
