material,number_of_elements,mean_atomic_mass,wtd_mean_atomic_mass,gmean_atomic_mass,wtd_gmean_atomic_mass,entropy_atomic_mass,wtd_entropy_atomic_mass,range_atomic_mass,wtd_range_atomic_mass,std_atomic_mass,wtd_std_atomic_mass,mean_fie,wtd_mean_fie,gmean_fie,wtd_gmean_fie,entropy_fie,wtd_entropy_fie,range_fie,wtd_range_fie,std_fie,wtd_std_fie,mean_atomic_radius,wtd_mean_atomic_radius,gmean_atomic_radius,wtd_gmean_atomic_radius,entropy_atomic_radius,wtd_entropy_atomic_radius,range_atomic_radius,wtd_range_atomic_radius,std_atomic_radius,wtd_std_atomic_radius,mean_Density,wtd_mean_Density,gmean_Density,wtd_gmean_Density,entropy_Density,wtd_entropy_Density,range_Density,wtd_range_Density,std_Density,wtd_std_Density,mean_ElectronAffinity,wtd_mean_ElectronAffinity,gmean_ElectronAffinity,wtd_gmean_ElectronAffinity,entropy_ElectronAffinity,wtd_entropy_ElectronAffinity,range_ElectronAffinity,wtd_range_ElectronAffinity,std_ElectronAffinity,wtd_std_ElectronAffinity,mean_FusionHeat,wtd_mean_FusionHeat,gmean_FusionHeat,wtd_gmean_FusionHeat,entropy_FusionHeat,wtd_entropy_FusionHeat,range_FusionHeat,wtd_range_FusionHeat,std_FusionHeat,wtd_std_FusionHeat,mean_ThermalConductivity,wtd_mean_ThermalConductivity,gmean_ThermalConductivity,wtd_gmean_ThermalConductivity,entropy_ThermalConductivity,wtd_entropy_ThermalConductivity,range_ThermalConductivity,wtd_range_ThermalConductivity,std_ThermalConductivity,wtd_std_ThermalConductivity,mean_Valence,wtd_mean_Valence,gmean_Valence,wtd_gmean_Valence,entropy_Valence,wtd_entropy_Valence,range_Valence,wtd_range_Valence,std_Valence,wtd_std_Valence,H,He,Li,Be,B,C,N,O,F,Ne,Na,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Kr,Rb,Sr,Y,Zr,Nb,Mo,Tc,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Xe,Cs,Ba,La,Ce,Pr,Nd,Pm,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Po,At,Rn,critical_temp
Hf1Ru1P1,3.0,103.511254,103.511254,82.365126681084,82.365126681084,0.913552348895296,0.913552348895296,147.516238,49.1720793333333,60.2479870160962,60.2479870160962,765.566666666667,765.566666666667,744.787851893342,744.787851893342,1.07086699234571,1.07086699234571,436.0,145.333333333333,182.235750852814,182.235750852814,161.333333333333,161.333333333333,153.663175690513,153.663175690512,1.05420844919684,1.05420844919684,110.0,36.6666666666667,46.4279609239471,46.4279609239471,9167.66666666667,9167.66666666667,6695.42487166109,6695.42487166109,0.890495279944889,0.890495279944889,11487.0,3829.0,5207.62238347683,5207.62238347683,58.9333333333333,58.9333333333333,22.3601198359772,22.3601198359772,0.7212942764047691,0.7212942764047691,101.3,33.7666666666667,42.4536086674489,42.4536086674489,17.28,17.28,7.48544733648365,7.48544733648365,0.751103886990592,0.751103886990592,25.06,8.35333333333333,11.7665401315198,11.7665401315198,47.7453333333333,47.7453333333333,8.66842830724546,8.66842830724546,0.452537057260483,0.452537057260483,119.764,39.9213333333333,51.9300976655692,51.9300976655692,5.0,5.0,4.93242414866094,4.93242414866094,1.08518861296765,1.08518861296765,2.0,0.666666666666667,0.8164965809277259,0.8164965809277259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.796666666666669
Lu1Os3B2,3.0,125.335933333333,127.8798,71.1268389604339,72.1252615789959,0.802746336223813,0.657836312781674,179.419,91.5113333333333,81.2207345645734,82.9558474491099,711.0,762.133333333333,695.570693186339,752.095575061949,1.07804816873559,0.946421674917446,306.8,324.4,140.235611264281,111.760080330839,163.0,157.666666666667,151.722586686786,147.741409285803,1.03543496456543,0.962030464494924,130.0,63.5,55.3052137385497,51.2336694849089,11630.3333333333,13755.1666666667,8177.68146360002,9392.39516846488,0.825425493642201,0.583491615369657,20130.0,10475.0,8314.86661882732,9171.01521855072,62.4333333333333,71.7833333333333,53.8628756835502,60.9008998898731,0.958507634177696,0.736298823629191,79.4,45.2166666666667,33.324098720829,36.6490753256098,34.3333333333333,35.8333333333333,32.4278478254299,34.3353354845417,1.04193590488663,0.951792886565128,28.0,13.0,11.6714276000077,10.5105766836184,43.3333333333333,55.1666666666667,33.4966210299506,44.418873962938,0.853049671525566,0.629591534345249,71.0,40.8333333333333,31.2018517968975,32.0438068205941,4.0,4.5,3.77976314968462,4.24264068711928,1.03972077083992,0.848685557726417,3.0,2.5,1.4142135623731,1.5,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.655
Sr1Ni2As2,3.0,73.745,70.97,72.7667849266696,70.1131007815703,1.08553838305118,1.07535366932874,28.9266,12.44464,11.8385060307456,11.0442980785562,743.8,782.76,725.855826162249,767.548755065215,1.07465639588041,0.994660992521334,397.2,268.68,162.245246463494,149.936434531437,160.666666666667,149.0,154.945301545896,144.585676340607,1.06233969178367,1.08877835098354,105.0,15.8,43.6526695123626,38.3405790253616,5755.0,6380.0,5119.42337001748,5848.89878919351,0.994106786211808,0.898853361339709,6278.0,3037.2,2563.05923978879,2353.58815428698,66.51,78.506,38.9127619412432,55.6067908890409,0.799471629720762,0.750916894610432,106.97,44.094,44.6258542401898,39.0683522048217,17.6333333333333,19.56,15.6206607683933,17.8575256986406,0.989733176660346,0.894249856774741,19.7,9.48,8.04832625802133,7.4470396803025,58.6666666666667,63.4,54.2033938952185,59.1586381071169,1.01976497505764,0.925831055268715,56.0,29.4,23.6690139681023,23.1913777081052,3.0,3.2,2.71441761659491,2.88539981181443,0.995026990179521,0.900256051268537,3.0,1.6,1.4142135623731,1.46969384566991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66
In2Mo15Se19,3.0,96.5793333333333,88.0354444444444,95.4631554628203,87.4430415797832,1.08708503094258,0.902673582797342,35.858,35.2945555555556,14.6455162952883,10.4635603417141,727.733333333333,812.655555555556,710.946396048978,800.431207677075,1.07513369051758,0.793235697966447,382.4,465.322222222222,159.038555772562,137.937059810393,149.666666666667,142.194444444444,145.068061586993,136.035319202097,1.0689623161853,0.86417397122231,87.0,70.5,35.7988205888903,42.1141434704176,7469.66666666667,7232.80555555556,7127.80493530583,6762.522085839,1.05341265418176,0.839465322995059,5461.0,3877.22222222222,2232.30080609422,2635.20774870939,100.1,135.980555555556,75.9703393029495,117.527910990712,0.853732890998098,0.59671249400419,166.1,102.019444444444,70.3892510733469,64.6848892686024,14.8866666666667,18.0311111111111,8.58956730229415,11.5747765359886,0.62026797344664,0.490906778359735,32.74,14.8188888888889,14.9549218951116,15.1940598366924,73.84,62.7466666666667,18.0971699735776,7.06901170940858,0.674516069464984,0.288112079407315,138.48,57.6422222222222,56.8279086365142,66.9848546729449,5.0,5.83333333333333,4.7622031559046,5.77334302136487,1.05492016798614,0.796345386612399,3.0,3.0,1.4142135623731,0.687184270936277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5
Bi1K1,2.0,124.03935,124.03935,90.3923579364981,90.3923579364981,0.435676027247376,0.435676027247376,169.8821,84.94105,84.94105,84.94105,560.7,560.7,542.368555504465,542.368555504465,0.660633839296905,0.660633839296905,284.4,142.2,142.2,142.2,193.0,193.0,186.410836594872,186.410836594872,0.659203398327732,0.659203398327732,100.0,50.0,50.0,50.0,5318.0,5318.0,2893.38556020452,2893.38556020452,0.279943507120375,0.279943507120375,8924.0,4462.0,4462.0,4462.0,71.3,71.3,68.0127193986536,68.0127193986536,0.647403217342014,0.647403217342014,42.8,21.4,21.4,21.4,6.615,6.615,5.0395436301316,5.0395436301316,0.465450888473168,0.465450888473168,8.57,4.285,4.285,4.285,54.0,54.0,28.2842712474619,28.2842712474619,0.264052051825629,0.264052051825629,92.0,46.0,46.0,46.0,3.0,3.0,2.23606797749979,2.23606797749979,0.450561208866305,0.450561208866305,4.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.6
B2Zr1,2.0,51.0175,37.6153333333333,31.4041822692456,22.0096742717337,0.33797133398122,0.488543693504138,80.413,23.2006666666667,40.2065,37.9070517303692,729.95,753.366666666667,726.561724838296,750.322309106612,0.688508987523663,0.603835064229289,140.5,313.566666666667,70.25,66.23233517114,146.5,126.666666666667,133.873074215841,115.958318357892,0.608239171837537,0.689597271578374,119.0,10.6666666666667,59.5,56.0971379741328,4485.5,3810.33333333333,4002.13193185832,3402.82255812579,0.587408121575539,0.683429720078611,4051.0,530.333333333333,2025.5,1909.65971372447,35.4,33.0,34.6600634736868,32.3570762183244,0.672318450310528,0.683400135698679,14.4,4.6,7.2,6.78822509939086,35.5,40.3333333333333,32.4037034920393,37.4443619360925,0.607241546568087,0.461476580381857,29.0,26.3333333333333,14.5,13.6707311029399,25.0,25.6666666666667,24.9198715887542,25.5948028186641,0.6899437584584,0.609759896128473,4.0,10.3333333333333,2.0,1.88561808316413,3.5,3.33333333333333,3.46410161513775,3.30192724889463,0.682908104700472,0.673011667009256,1.0,0.666666666666667,0.5,0.471404520791032,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5
In3Lu1,2.0,144.8924,129.8552,141.736861974576,127.569365516165,0.671448434343449,0.638923832979203,60.1488,42.3718,30.0744,26.0451944035747,535.5,546.75,535.027102117267,546.392828449857,0.69226421462947,0.544737148784068,45.0,290.25,22.5,19.4855715851499,186.5,171.25,183.989130113711,169.41754424421,0.679714444176771,0.624424840878666,61.0,62.75,30.5,26.4137748154254,8575.5,7942.75,8481.61010657763,7874.04406128658,0.682218626912766,0.618898792376946,2531.0,3022.25,1265.5,1095.95514848921,40.95,35.675,39.5676635650881,34.6822284805731,0.659583015392367,0.653932543342559,21.1,9.925,10.55,9.13656800992583,12.63,7.945,8.46876614389605,5.25434844953217,0.384591688148899,0.617281021150737,18.74,3.055,9.37,8.11465803346019,49.0,65.5,36.2215405525497,54.4992323368786,0.445045051818477,0.229898025153472,66.0,57.5,33.0,28.5788383248865,3.0,3.0,3.0,3.0,0.693147180559945,0.562335144618808,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24
O1V3Zr3,3.0,52.7216333333333,63.2137,42.0495654597898,55.4196457338011,0.914065731546602,0.784390811701813,75.2246,36.8103714285714,30.736100026986,26.8188140818025,874.3,748.928571428571,825.799883272694,723.311538400548,1.03927052490847,1.08236622489674,663.0,95.1428571428572,310.303206557715,230.364888906309,141.666666666667,168.428571428571,119.133761976969,154.466047112557,0.96365479843927,0.830989310371946,158.0,81.4285714285714,67.7560985365073,51.7655625815827,4207.47633333333,5409.20414285714,384.509473877981,1901.76562104229,0.693705807125455,0.693038323594881,6509.571,2790.22442857143,2978.62673925198,2215.50506425964,79.0666666666667,60.9428571428571,68.1324587967178,55.1815420998691,0.947423397400215,1.09525458562288,99.9,4.07142857142857,45.0215010362333,33.5847268494329,14.674,18.8031428571429,4.73698895451173,11.3568879987512,0.720517410488,0.703589329482952,22.578,9.73971428571429,10.2454942291722,7.63134527418839,18.00886,23.1466542857143,2.66613110772621,9.94693043995412,0.686036455634575,0.683614605862058,30.97342,13.2819171428571,13.1281325277385,10.139227035485,3.66666666666667,4.14285714285714,3.41995189335339,3.98647063127738,1.03619878481928,0.890539720499955,3.0,1.85714285714286,1.24721912892465,0.989743318610787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5
La1Al2,2.0,82.9435043,64.2895157333333,61.2199583514735,46.5890931424114,0.444038338674203,0.592756765261366,111.9239314,28.3141309333333,55.9619657,52.7614472466653,559.15,565.166666666667,558.85858676413,564.906700780819,0.692626053996656,0.62621867785184,36.1,204.433333333333,18.05,17.0177032005563,156.5,143.666666666667,151.69047432189,139.508137909911,0.662574757291338,0.688615700530721,77.0,13.6666666666667,38.5,36.2981481009094,4423.0,3848.66666666667,4073.59791830269,3551.73069086737,0.615224752826314,0.691058427396545,3446.0,248.666666666667,1723.0,1624.4599786459,46.75,45.8333333333333,46.6690475583121,45.7618441071419,0.691416077617118,0.653418194793702,5.5,12.8333333333333,2.75,2.59272486435067,8.5,9.23333333333333,8.2103593100424,8.96814665497376,0.659268007343847,0.536160629012816,4.4,5.03333333333333,2.2,2.07417989148054,124.0,161.0,55.2720544217419,89.5419110222136,0.205578191846928,0.123849556017109,222.0,152.333333333333,111.0,104.651803615609,3.0,3.0,3.0,3.0,0.693147180559945,0.636514168294813,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.23
In3Te4,2.0,121.209,122.122,121.040393257788,121.956418381161,0.691756461796323,0.67418534095865,12.782,23.7065714285714,6.391,6.32544954924154,713.5,735.714285714286,696.349050405039,718.735034078873,0.66920664840578,0.630616502991379,311.0,257.428571428571,155.5,153.905086043977,139.5,137.142857142857,138.520756567382,136.18900107282,0.686135750130559,0.692834647999721,33.0,3.42857142857143,16.5,16.330764757078,6775.0,6698.57142857143,6753.84335027102,6677.92440562067,0.690026055129586,0.69105789674244,1070.0,432.857142857143,535.0,529.512675456771,111.05,122.571428571429,76.3392428571308,87.0708417913469,0.399250411626984,0.338695577366727,161.3,96.5142857142857,80.65,79.82279864596,10.38,11.3971428571429,7.55314504031268,8.51643539848544,0.434716590417149,0.372048139816041,14.24,8.60285714285714,7.12,7.0469724285088,42.5,36.8571428571429,15.6843871413581,12.3835925351263,0.15268872541181,0.188112927414574,79.0,33.4285714285714,39.5,39.0948610851261,4.5,4.71428571428571,4.24264068711928,4.45798286741084,0.636514168294813,0.585952618303551,3.0,2.14285714285714,1.5,1.48461497791618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2
