index,materials,critical_temp
0,Ag1B2,6.7
1,Ag1La1,1.0733333333333333
2,Ag1Mo6S8,7.7
3,Ag1Sn1Se2,4.655
4,Ag2F1,0.066
5,Al13Os4,5.4
6,Al1Mo3,0.58
7,Al1Nb3,16.461333333333336
8,Al1Os1,0.39
9,Al1Sc1Au2,4.4
10,Al25Nb75,17.5
11,Al2Au1,0.095
12,Al2C1Mo3,9.025
13,Al2La1,2.5881666666666665
14,Al2Pt1,0.515
15,Al2Zr1,0.35
16,Al3Mg2,0.855
17,Al3Tl1,0.75
18,Al3Yb1,0.94
19,Al5Re24,3.35
20,Al6Re1,1.85
21,As1Nb3,2.353333333333333
22,As1Pd5,0.46
23,As1Rh1,0.58
24,As1Sn1,3.755
25,As2Cd1Ge1,3.02
26,As2Mo1,0.41
27,As2Pd5,0.46
28,As2W1,0.9
29,As3La4,6.5
30,Au1Be1,1.7750000000000001
31,Au1Ga1,1.2
32,Au1Ga40Mo8,9.4
33,Au1In2,0.22
34,Au1Lu1,0.37
35,Au1Pb2,3.76
36,Au1Pb3,4.325
37,Au1Pd1In1Y1,2.3
38,Au1Sb2,0.58
39,Au1Sc1,2.0
40,Au1Zr3,0.92
41,Au2Bi1,1.77
42,Au2In1Y1,1.74
43,Au5Ba1,0.4
44,Au5Ca1,0.34
45,Au5Sn1,0.9
46,B12Lu1,0.435
47,B12Sc1,0.39
48,B12Y1,4.7
49,B12Zr1,5.977142857142858
50,B1C1Mo2,5.933333333333334
51,B1Hf1,3.1
52,B1I3,1.86
53,B1Mo1Re1,5.09
54,B1Mo2,5.483333333333333
55,B1Nb1,8.25
56,B1Re3,4.75
57,B1Ta1,4.0
58,B1Ta2,3.12
59,B1W2,3.2
60,B2Mg1,35.56130434782609
61,B2Nb1,5.2542857142857144
62,B2Os1,2.1300000000000003
63,B2Re1,6.3
64,B2Ru1,1.6
65,B2Ta1,9.5
66,B2Zr1,5.5
67,B3Re7,3.19
68,B3Ru7,2.98
69,B6La1,3.075
70,B6Nd1,3.0
71,B6Y1,6.641666666666667
72,Ba1Al1Ge1,6.3
73,Ba1Al1Sn1,2.9
74,Ba1Bi3,5.745
75,Ba1Ga1Si1,4.05
76,Ba1Hg1,2.32
77,Ba1Ir2P2,2.1
78,Ba1Ni2P2,2.686666666666666
79,Ba1Pt1Si3,1.875
80,Ba1Pt4Ge12,5.132
81,Ba1Rh2,6.0
82,Ba1Rh2P2,1.0
83,Ba1Sn3,4.3
84,Ba1Ti2Bi2O1,4.6
85,Ba1Ti2Sb2O1,1.205
86,Ba24Si100,1.475
87,Ba2Bi3,4.44
88,Ba2Cu1O4,48.0
89,Ba2Sn3Sb6,3.9
90,Ba2Ti2Fe2As4O1,20.125
91,Ba3Ir4Ge16,6.1
92,Ba6C60,7.0
93,Ba6Ge25,0.24
94,Ba6Nb10O30,1.625
95,Ba8Ge46,10.0
96,Ba8Si40Ga6,3.3
97,Ba8Si42Cu4,2.9
98,Ba8Si46,8.1425
99,Be17Nb2,1.47
100,Be22Mo1,2.5275
101,Be22Re1,9.51
102,Be22W1,4.12
103,Be2Nb1,2.15
104,Be2Nb3,2.3
105,Be2Ru1,1.35
106,Be2Ta3,1.0
107,Be5Pt1,2.3
108,Bi14Rh3,2.85
109,Bi1Cu1,1.8
110,Bi1K1,3.6
111,Bi1La2,0.76
112,Bi1La4Pb2,2.5
113,Bi1Li1,2.4625000000000004
114,Bi1Na1,2.25
115,Bi1Pd1Se1,1.0
116,Bi1Pd1Te1,1.2
117,Bi1Pt1Se1,1.45
118,Bi1Pt1Te1,1.15
119,Bi2Ca2Sr1Cu2O8,70.0
120,Bi2Cs1,4.75
121,Bi2Ir1,2.715
122,Bi2K1,3.575
123,Bi2La4Pb1,2.3
124,Bi2Ni3Se2,0.73
125,Bi2Pd3Se2,0.96
126,Bi2Rb1,4.25
127,Bi2Rh1,2.2
128,Bi2Sr2Ca1Cu2I1O8,69.35
129,Bi2Sr2Ca1Cu2O10,110.0
130,Bi2Sr2Ca2Cu3O10,108.125
131,Bi2Sr2Cu1O6,8.9625
132,Bi2Te1,8.6
133,Bi3Ca1,1.85
134,Bi3In5,4.189
135,Bi3La4,0.155
136,Bi3La5,0.64
137,Bi3Mo1,3.7
138,Bi3Ni1,3.935
139,Bi3Rh1,3.175
140,Bi3Sr1,5.7
141,Bi4Rh1,2.95
142,Bi4Te3,5.25
143,C1Ga1Mo2,3.9
144,C1S1,9.0
145,C2Mo1Re1,3.8
146,C2Y1,3.8954285714285715
147,C3La2,10.66
148,C3Y2,14.85625
149,C60Ca5,8.4
150,C6Ca1,11.303
151,C6Sr1,1.65
152,C6Yb1,6.496666666666666
153,C8Cs1,0.135
154,C8K1,0.30475
155,C8Rb1,0.0241
156,Ca1Fe2As2,11.8
157,Ca1Ga1Si1,4.2375
158,Ca1Ge3,6.8
159,Ca1Hg1,1.6
160,Ca1Ir1Si3,3.3
161,Ca1Ir2,5.075
162,Ca1Ni1B1N1,2.08
163,Ca1Pb1,7.0
164,Ca1Pb3,0.65
165,Ca1Pd2As2,1.27
166,Ca1Pt1Si3,2.3
167,Ca1Rb1Fe4As4,35.0
168,Ca1Rh2,6.4
169,Ca1Si3,4.25
170,Ca1Tl3,2.04
171,Ca2In1N1,0.6
172,Ca2Pt3Si5,1.3
173,Ca2Sr2Cu3Ga1O9,73.0
174,Ca3Co4Sn13,5.75
175,Ca3Ir4Ge13,1.7
176,Ca3Ir4Ge4,1.7
177,Ca3Ir4Sn13,6.95
178,Ca3Rh4Ge13,2.1
179,Ca3Rh4Sn13,7.4775
180,Ca4Rh6Pb19,3.3
181,Cd1C1Ni3,3.1333333333333333
182,Cd1Mo6S8,1.8
183,Cd1Mo6Se8,2.4
184,Cd1Sn1,3.65
185,Cd2Re2O7,1.1028571428571428
186,Ce1Au2Si2,2.0516666666666663
187,Ce1Bi1S2O1,2.3
188,Ce1Co1Ge3,0.6766666666666666
189,Ce1Co1In5,2.2070833333333333
190,Ce1Co2,1.1125
191,Ce1Cu2Ge2,1.32
192,Ce1Cu2Si2,0.6496999999999999
193,Ce1In3,0.17333333333333334
194,Ce1Ir1Ge3,1.61
195,Ce1Ir1In5,0.7704285714285714
